rank,nct_id,title,conditions,interventions
6035,NCT02282605,Study of the Nasal Decolonisation of Staphylococcus Aureus (SA) and the Safety and Tolerability of XF-73 Nasal Gel in Healthy Subjects,Staphylococcus Aureus Infection,Drug: XF-73 nasal gel|Drug: Placebo nasal gel|Other: Chlorhexidine gluconate 2% topical cloths
6054,NCT02280408,Safety and Immunogenicity of Prime-Boost Vesicular Stomatitis Virus (VSV) Ebola Vaccine in Healthy Adults (V920-002),Ebola Viruses,Other: Placebo|Biological: V920
6060,NCT02280044,Efficacy of Rifaximin in Preventing Campylobacteriosis,Dysentery|Diarrhea|Enteric Campylobacteriosis,Biological: Rifaximin intervention|Biological: Placebo intervention
6086,NCT02277769,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Drug: Dupilumab|Drug: Placebo (for Dupilumab)
6087,NCT02277743,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Drug: Dupilumab|Drug: Placebo (for Dupilumab)
6111,NCT02275546,Performance and Safety of Vaginal Ring Applicator in Healthy Females (MK-8342A-063),Contraception: Optional Applicator for Insertion of Vaginal Ring,"Drug: Placebo vaginal ring|Device: Single-use, non-sterile applicator"
6127,NCT02273973,A Study of Neoadjuvant Letrozole + Taselisib Versus Letrozole + Placebo in Post-Menopausal Women With Breast Cancer (LORELEI),Breast Cancer,Drug: Letrozole|Other: Placebo|Drug: Taselisib
6144,NCT02272725,Non-steroidal Anti-inflammatory Affect on Kidneys in Endurance Distances,Acute Kidney Injury|Exercise-associated Hyponatremia|Perceived Exertion,Drug: Ibuprofen|Drug: Placebo
6158,NCT02271217,A Study to Evaluate the Efficacy and Safety of Two Dose Strengths of Dalfampridine Extended Release Tablets.,Post-Ischemic Stroke,Drug: Placebo|Drug: dalfampridine-ER 7.5mg|Drug: dalfampridine-ER 10mg
6174,NCT02269475,A Phase3 Study to Evaluate the Efficacy and Safety of MEDI3250 in Healthy Japanese Children Age 7 Years Through 18 Years,Healthy Japanese Children Age 7 Years Through 18 Years,Drug: MEDI3250|Drug: Placebo
6175,NCT02269423,Vaccine Treatment for Ebola Virus in Healthy Adults (V920-001),Ebola Virus,Biological: V920|Other: Placebo
6178,NCT02268994,KRX-0502 (Ferric Citrate) for the Treatment of IDA in Adult Subjects With NDD-CKD,Anemia of Chronic Kidney Disease,Drug: ferric citrate|Drug: Placebo
6184,NCT02268526,Efficacy and Safety Study of CSJ148 in Stem Cell Transplant Patients,HCMV,Biological: CSJ148|Drug: Placebo
6199,NCT02267382,A Study to Evaluate Oral VT-1161 in the Treatment of Patients With Recurrent Vaginal Candidiasis (Yeast Infection),Recurrent Vulvovaginal Candidiasis,Drug: VT-1161|Drug: Placebo
6203,NCT02267135,Efficacy and Safety of Subcutaneous Secukinumab in Adults With Moderate to Severe Scalp Psoriasis,Chronic Scalp Psoriasis,Biological: Secukinumab 300 mg|Biological: Placebo
6218,NCT02265744,Safety and Efficacy Study of a Biologic to Treat Systemic Lupus Erythematosus,Lupus,Drug: BMS-931699|Drug: Placebo matching BMS-931699
6219,NCT02265705,A Study of Baricitinib (LY3009104) in Participants With Rheumatoid Arthritis (RA),Rheumatoid Arthritis,Drug: Baricitinib|Drug: Placebo
6251,NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Drug: Dupilumab|Drug: Placebo (for Dupilumab)|Other: Topical Corticosteroid (TCS)
6279,NCT02257970,Lymphedema Study for Arm or Leg Lymphedema,Lymphedema,Drug: Ketoprofen|Drug: Placebo
6300,NCT02255760,Phase 1 Randomized Double-blind Placebo Controlled Study to Evaluate Safety and PK of MEDI3902 in Healthy Adults,MEDI3902 for Prevention of P. Aeruginosa Pneumonia,Drug: MEDI3902 - Dose 1|Drug: MEDI3902 - Dose 2|Drug: MEDI3902 - Dose 3|Drug: MEDI3902 - Dose 4|Other: Placebo
6339,NCT02252016,"Grazoprevir (MK-5172) and Elbasvir (MK-8742) Combination for Chronic Hepatitis C Virus (HCV) Genotypes 1, 4, and 6 (MK-5172-065)",Hepatitis C,Drug: Grazoprevir + Elbasvir|Drug: Placebo
6340,NCT02251990,Grazoprevir (MK-5172) and Elbasvir (MK-8742) Combination in Treatment-Naïve Hepatitis C Virus Participants (MK-5172-067),Hepatitis C,Drug: Grazoprevir/Elbasvir|Drug: Placebo
6371,NCT02248818,AZD8108 SAD/MAD in Healthy Volunteers,Healthy Volunteers,Drug: AZD8108|Drug: Placebo
6403,NCT02246439,BEKINDA (Ondansetron 24 mg Bimodal Release Tablets) for Vomiting Due to Presumed Acute Gastroenteritis or Gastritis,Gastroenteritis|Gastritis,Drug: RHB-102|Drug: Placebo Oral Tablet
6436,NCT02242903,A Study of LY3079514 in Healthy Participants,Healthy Volunteers,Drug: LY3079514|Drug: Placebo
6461,NCT02240121,One Year Study of Rifaximin Delayed Release (DR) Tablets in Crohn's Disease,Crohn's Disease,Drug: Rifaximin EIR|Drug: Placebo
6462,NCT02240108,One Year Study of Rifaximin Delayed Release (DR) in Crohn's Disease,Crohn's Disease,Drug: Rifaximin EIR|Drug: Placebo
6487,NCT02237950,Efficacy and Safety Study of SPL7013 Gel to Prevent the Recurrence of Bacterial Vaginosis (BV),Bacterial Vaginosis,Drug: Metronidazole oral tablets 500mg|Drug: 1% SPL7013 Gel|Drug: Placebo gel
6507,NCT02235064,Prophylactic Use of Postpartum Sertraline to Prevent Postpartum Depression,"Depression, Postpartum",Drug: Sertraline|Drug: Placebo
6543,NCT02231580,"Study Exploring Safety, Pharmacokinetic and Pharmacodynamic of BN82451 in Male Huntington's Disease Patients",Huntington's Disease,Drug: BN82451B|Drug: Placebo
6549,NCT02230761,Phase 2 Study of XAF5 (XOPH5) Ointment for Reduction of Excess Eyelid Fat (Steatoblepharon),Lower Eyelid Steatoblepharon (Excess Eyelid Fat),Drug: XOPH5 Ointment|Drug: Placebo
6552,NCT02230579,Phase I Study of Ascending Doses of MMV390048 in Healthy Adult Volunteers,Malaria,Drug: MMV390048 5mg|Drug: MMV390048 20mg|Drug: MMV390048 40mg|Drug: MMV390048 80mg|Drug: MMV390048 120mg|Drug: Placebo to match MMV390048
6576,NCT02228395,"Study To Evaluate The Safety, Tolerability And Pharmacokinetics Of Single Doses Of PF-04958242 In Healthy Volunteers",Healthy,Drug: PF-04958242|Drug: Placebo
6583,NCT02227693,"A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Once-daily Oral Avatrombopag in Japanese Subjects With Chronic Liver Diseases and Thrombocytopenia",Thrombocytopenia Associated With Chronic Liver Disease,Drug: avatrombopag|Drug: Placebo
6589,NCT02227147,Evaluation of Efficacy of 20 µg/ml rhNGF New Formulation (With Anti-oxidant) in Patients With Stage 2 and 3 NK,Neurotrophic Keratitis,Drug: rhNGF 20µg/ml|Other: Placebo
6638,NCT02222714,Safety Evaluation of 3K3A-APC in Ischemic Stroke,Ischemic Stroke,Biological: 3K3A-APC|Drug: Placebo
6650,NCT02221648,Investigation of Efficacy of Botulinum Toxin A (Dysport) in Chronic Low Back Pain,Lower Back Pain,Drug: Placebo|Drug: AbobotulinumtoxinA Treatment
6663,NCT02219932,Efficacy and Safety Study of Prolonged-Release Fampridine in Participants With Multiple Sclerosis,Multiple Sclerosis,Drug: fampridine|Drug: Placebo
6671,NCT02219256,"A Phase 1 Study to Assess the Safety, Tolerability, and Pharmacokinetics of TAK-079 in Healthy Participants",Autoimmune Disease,Drug: TAK-079|Drug: Placebo to TAK-079
6673,NCT02219048,An Evaluation Of PF-03715455 In Moderate To Severe Uncontrolled Asthma,Asthma,Drug: Placebo|Drug: PF-03715455
6695,NCT02217475,Efficacy and Safety Study of Cenicriviroc for the Treatment of Nonalcoholic Steatohepatitis (NASH) in Adult Participants With Liver Fibrosis,Nonalcoholic Steatohepatitis,Drug: Cenicriviroc|Drug: Placebo
6705,NCT02216357,Trial to Determine the Safety of Oral Ifetroban in Patients With a History of Aspirin Exacerbated Respiratory Disease,Aspirin Exacerbated Respiratory Disease (AERD),"Drug: Ifetroban, Oral Capsule|Drug: Placebo, Oral Capsule"
6708,NCT02216123,"Study to Assess the Incidence of Hemolysis, Safety, and Efficacy of Tafenoquine (SB-252263, WR238605) Versus Primaquine in Subjects With Plasmodium Vivax Malaria","Malaria, Vivax",Drug: Tafenoquine|Drug: Tafenoquine Placebo|Drug: Chloroquine|Drug: Primaquine|Drug: Primaquine Placebo
6726,NCT02213900,"Preventing Post-Operative Delirium in Patients Undergoing a Pneumonectomy, Esophagectomy or Thoracotomy",Delirium|Cognitive Impairment|Post-traumatic Stress Disorder|Depression|Anxiety,Drug: Haloperidol|Drug: Placebo
6745,NCT02211261,"A Phase 1 Single/Multiple Dose Study Of PF-06293620 To Assess Safety, Tolerability And Pharmacokinetics In Subjects With Type 2 Diabetes Mellitus",Type 2 Diabetes Mellitus,Biological: PF-06293620|Biological: Placebo
6755,NCT02209506,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of MLN3126 in Healthy Japanese and Non-Japanese Participants",Safety|Tolerability|Pharmacokinetics|Pharmacodynamics,Drug: MLN3126|Drug: MLN3126 Matched Placebo
6784,NCT02207244,A Study of Guselkumab in the Treatment of Participants With Moderate to Severe Plaque-Type Psoriasis With Randomized Withdrawal and Retreatment,Psoriasis,Drug: Guselkumab 100 mg|Drug: Placebo for guselkumab|Drug: Adalimumab|Drug: Placebo for adalimumab
6785,NCT02207231,A Study of Guselkumab in the Treatment of Participants With Moderate to Severe Plaque-Type Psoriasis,Psoriasis,Drug: Guselkumab 100 mg|Drug: Placebo for guselkumab|Drug: Adalimumab|Drug: Placebo for adalimumab
6825,NCT02203149,Study of Grazoprevir (MK-5172) and Elbasvir (MK-8742) in Japanese Participants With Chronic Hepatitis C (MK-5172-058),Hepatitis C,Drug: Grazoprevir|Drug: Elbasvir|Drug: Placebo to Grazoprevir|Drug: Placebo to Elbasvir
6844,NCT02201940,Sofosbuvir/Velpatasvir Fixed Dose Combination for 12 Weeks in Adults With Chronic HCV Infection,Hepatitis C Virus Infection,Drug: SOF/VEL|Drug: Placebo
6855,NCT02201056,"Safety, Tolerability, and Pharmacokinetics of Escalating Single Doses of TAK-935",Healthy Volunteers,Drug: TAK-935|Drug: Placebo
6889,NCT02197065,Pilot Study of Atorvastatin for Orthopedic Surgery Patients,Hip Fracture|Myocardial Ischemia|Inflammation,Drug: Atorvastatin|Drug: Placebo
6898,NCT02196168,Cisplatin With or Without WEE1 Inhibitor MK-1775 in Treating Patients With Recurrent or Metastatic Head and Neck Cancer,Recurrent Hypopharyngeal Squamous Cell Carcinoma|Recurrent Laryngeal Squamous Cell Carcinoma|Recurrent Laryngeal Verrucous Carcinoma|Recurrent Lip and Oral Cavity Squamous Cell Carcinoma|Recurrent Metastatic Squamous Cell Carcinoma in the Neck With Occult Primary|Recurrent Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma|Recurrent Oral Cavity Verrucous Carcinoma|Recurrent Oropharyngeal Squamous Cell Carcinoma|Squamous Cell Carcinoma Metastatic in the Neck With Occult Primary|Stage IV Hypopharyngeal Squamous Cell Carcinoma|Stage IVA Laryngeal Squamous Cell Carcinoma|Stage IVA Laryngeal Verrucous Carcinoma|Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma|Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma|Stage IVA Oral Cavity Verrucous Carcinoma|Stage IVA Oropharyngeal Squamous Cell Carcinoma|Stage IVB Laryngeal Squamous Cell Carcinoma|Stage IVB Laryngeal Verrucous Carcinoma|Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma|Stage IVB Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma|Stage IVB Oral Cavity Verrucous Carcinoma|Stage IVB Oropharyngeal Squamous Cell Carcinoma|Stage IVC Laryngeal Squamous Cell Carcinoma|Stage IVC Laryngeal Verrucous Carcinoma|Stage IVC Lip and Oral Cavity Squamous Cell Carcinoma|Stage IVC Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma|Stage IVC Oral Cavity Verrucous Carcinoma|Stage IVC Oropharyngeal Squamous Cell Carcinoma|Tongue Carcinoma,Drug: Cisplatin|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Other: Placebo|Drug: WEE1 Inhibitor AZD1775
6900,NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,"Drug: Estradiol Vaginal Cream, 0.01%|Drug: Estrace® 0.01% cream|Drug: Placebo Vaginal Cream"
6913,NCT02195349,"A First in Human Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of a Intravenous (IV) Dose of GSK2831781 in Healthy Volunteers and Patients With Plaque Psoriasis",Psoriasis,Biological: GSK2831781|Biological: Placebo
6952,NCT02190604,"Safety, Tolerability, Pharmacokinetics, and Preliminary Pharmacodynamics of QBW251 in Healthy Subjects and Cystic Fibrosis Patients",Cystic Fibrosis,Drug: Placebo|Drug: QBW251
6985,NCT02186873,A Study of Golimumab in Participants With Active Ankylosing Spondylitis,Ankylosing Spondylitis,Drug: Placebo|Drug: Golimumab
7029,NCT02181673,A Study of Golimumab in Participants With Active Psoriatic Arthritis,"Arthritis, Psoriatic",Drug: Placebo|Drug: Golimumab
7057,NCT02178800,"Evaluating the Safety, Tolerability, and Pharmacokinetics of an Investigational, Injectable HIV Medicine (GSK1265744) in HIV-Uninfected Adults",HIV Infections,Drug: GSK1265744 Tablets|Drug: Injectable GSK1265744|Drug: Placebo for GSK1265744 Tablets|Drug: Injectable Placebo for GSK1265744
7061,NCT02178540,Study to Validate the Instructions for Use of TOBI® Podhaler™ in Cystic Fibrosis Patients,Cystic Fibrosis,Drug: Placebo|Device: Tobi Podhaler
7075,NCT02176525,Multiple Oral Doses of BI 207127 NA in Treatment naïve and Treatment-experienced Hepatitis C Virus (HCV)-Infected Patients,"Hepatitis C, Chronic",Drug: BI 207127 NA|Drug: Placebo
7076,NCT02176486,"Safety, Tolerability and Pharmacokinetics of Multiple Rising Doses of Ixazomib in Lupus Nephritis (LN)",Lupus Nephritis,Drug: Ixazomib|Drug: Placebo
7093,NCT02175225,Intracerebral Hemorrhage Deferoxamine Trial - iDEF Ttrial,Intracerebral Hemorrhage,Drug: Deferoxamine Mesylate|Drug: Placebo (for Deferoxamine Mesylate)
7096,NCT02175121,"Safety, Tolerability, Pharmacokinetics And Pharmacodynamics Study Of PF-06291874 As Oral Monotherapy To Treat Adults With Type 2 Diabetes Mellitus","Diabetes Mellitus, Type II",Drug: Placebo|Drug: PF-06291874
7118,NCT02171819,Influenza A/H5N1 Vaccine Clinical Trial (IVACFLU-A/H5N1) - Phase 1,Influenza A Subtype H5N1 Infection,"Biological: IVACFLU-A/H5N1, 7.5 mcg|Biological: IVACFLU-A/H5N1, 15 mcg|Other: Placebo Comparator"
7178,NCT02165826,"Evaluation of Tolerability and Pharmacokinetics of Roflumilast, 250μg and 500μg, as add-on to Standard COPD Treatment to Treat Severe COPD",Chronic Obstructive Pulmonary Disease (COPD),Drug: Roflumilast|Drug: Roflumilast Placebo|Drug: Standard of Care COPD Treatment
7184,NCT02165202,"Phase II Safety and Acceptability of an Investigational Injectable Product, TMC278LA, for Pre-Exposure Prophylaxis",Human Immunodeficiency Virus (HIV),Drug: Rilpivirine|Drug: Placebo
7200,NCT02163915,"Safety, Tolerability, and Pharmacokinetics of Multiple Rising Doses of TAK-137 in Adults With Attention-Deficit/Hyperactivity Disorder.",Attention-Deficit/Hyperactivity Disorder,Drug: TAK-137|Drug: TAK-137 Placebo
7214,NCT02162758,Effect of Dexlansoprazole 60 mg QD and 60 mg BID on Recurrence of Intestinal Metaplasia in Subjects Who Have Achieved Complete Eradication of Barrett's Esophagus With Radiofrequency Ablation,Barrett's Esophagus,Drug: Dexlansoprazole|Drug: Dexlansoprazole Placebo
7227,NCT02161406,A Study of Subcutaneous Abatacept to Treat Diffuse Cutaneous Systemic Sclerosis,Diffuse Cutaneous Systemic Sclerosis,Drug: Abatacept|Drug: Placebo
7255,NCT02159053,"16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Active Ankylosing Spondylitis","Spondylitis, Ankylosing",Biological: Secukinumab|Biological: Placebo
7258,NCT02158936,"A Study of Eltrombopag or Placebo in Combination With Azacitidine in Subjects With International Prognostic Scoring System (IPSS) Intermediate-1, Intermediate-2 or High-risk Myelodysplastic Syndromes (MDS)",Thrombocytopaenia,Drug: Eltrombopag|Drug: Azacitidine|Drug: Placebo
7278,NCT02157506,A Dose Ranging Phase IIa Study of 6 Hour Intravenous Dosages of CXL-1427 in Patients Hospitalized With Heart Failure,Heart Failure|Decompensated Heart Failure|Acute Heart Failure,Drug: CXL-1427|Drug: Placebo
7332,NCT02153112,Safety and Immunogenicity of Norovirus GI.1/GII.4 Bivalent Virus-Like Particle (VLP) Vaccine in Children,Norovirus,Biological: GI.1/GII.4 (15/15)|Biological: GI.1/GII.4 (15/50)|Biological: GI.1/GII.4 (50/50)|Biological: GI.1/GII.4 (50/150)|Drug: Placebo
7333,NCT02153099,"Safety, Tolerability and Pharmacokinetics of Escalating Single Doses of ENV8058 (TAK-058) in Healthy Participants",Dose Finding Study,Drug: TAK-058 (ENV8058)|Drug: Placebo
7346,NCT02151851,A Study of Certolizumab Pegol as Additional Therapy in Chinese Patients With Active Rheumatoid Arthritis,Rheumatoid Arthritis,Biological: Certolizumab Pegol|Drug: Methotrexate|Other: Placebo
7358,NCT02151110,Phase 1 Single-ascending Dose Study to Evaluate Safety and Tolerability of MEDI4920 in Healthy Adults,Healthy Volunteer,Biological: MEDI4920 3 mg|Biological: MEDI4920 10 mg|Biological: MEDI4920 30 mg|Biological: MEDI4920 100 mg|Biological: MEDI4920 300 mg|Biological: MEDI4920 1000 mg|Biological: MEDI4920 3000 mg|Other: Placebo
7389,NCT02148107,Multiple Rising Oral Doses of BI 691751 in Healthy Male Subjects,Healthy,Drug: BI 691751|Drug: Placebo
7390,NCT02147899,A Phase 2 Study of SYM-1219 to Treat Bacterial Vaginosis,Bacterial Vaginosis,Drug: SYM-1219|Drug: Placebo
7400,NCT02147197,A Study of the Efficacy and Safety of a 3-month Treatment Course of Ulipristal Acetate for the Treatment of Abnormal Uterine Bleeding Associated With Leiomyomas,Leiomyoma|Uterine Hemorrhage,Drug: Ulipristal acetate (UPA)|Drug: Placebo
7402,NCT02147158,A Study of the Efficacy and Safety of Ulipristal Acetate Intermittent Treatment for Abnormal Uterine Bleeding Associated With Leiomyomas,Leiomyoma|Uterine Hemorrhage,Drug: Ulipristal acetate (UPA)|Drug: Placebo
7417,NCT02145468,A Phase 3 Clinical Outcomes Study to Compare the Incidence of Major Adverse Cardiovascular Events in Subjects Presenting With Acute Coronary Syndrome Treated With Losmapimod Compared to Placebo (LATITUDE-TIMI 60),Acute Coronary Syndrome,Drug: Losmapimod 7.5 mg twice daily|Drug: Placebo twice daily|Drug: Standard therapy
7422,NCT02145182,Prevention of Delayed Graft Function Using Eculizumab Therapy (PROTECT Study),Delayed Graft Function,Drug: Eculizumab|Drug: Placebo
7427,NCT02144610,Efficacy and Safety of AMG0001 in Subjects With Critical Limb Ischemia,Critical Limb Ischemia,Biological: HGF Plasmid (AMG0001)|Biological: Matching Placebo
7430,NCT02144285,A Study of LY3113593 in Healthy Participants and Participants With Chronic Kidney Disease Treated With Hemodialysis,"Kidney Failure, Chronic",Drug: LY3113593|Drug: Placebo
7446,NCT02142504,Safety and Immunogenicity of Norovirus Bivalent Virus-Like Particle Vaccine in Healthy Adults,Norovirus Prevention,Biological: Norovirus Bivalent VLP Vaccine|Drug: Placebo (Saline)
7449,NCT02142153,F901318 Single Ascending Dose Study in Healthy Male Volunteers,Invasive Aspergillosis,Drug: F901318|Drug: Placebo
7476,NCT02139943,A Study of Effects of Canagliflozin as Add-on Therapy to Insulin in the Treatment of Participants With Type 1 Diabetes Mellitus (T1DM),"Diabetes Mellitus, Type 1",Drug: Canagliflozin 100 mg|Drug: Canagliflozin 300 mg|Drug: Placebo
7500,NCT02137772,"Letermovir (MK-8228) Versus Placebo in the Prevention of Clinically-Significant Cytomegalovirus (CMV) Infection in Adult, CMV-Seropositive Allogeneic Hematopoietic Stem Cell Transplant Recipients (MK-8228-001)",Prevention of CMV Infection or Disease,Drug: Letermovir|Drug: Placebo
7519,NCT02135848,3 Month PHI PAD PoM Study,"Vascular Disease, Peripheral",Drug: GSK1278863|Drug: Placebo
7535,NCT02134314,C1INH Inhibitor Preoperative and Post Kidney Transplant to Prevent DGF & IRI,End Stage Renal Disease|Kidney Failure|Delayed Graft Function|Ischemic Reperfusion Injury,Drug: C1 Esterase Inhibitor|Drug: Placebo
7572,NCT02131233,"Evaluation of the Safety and Efficacy of Reformulated Raltegravir (MK-0518) 1200 mg Once Daily in Combination With TRUVADA™ in Human Immunodeficiency Virus (HIV)-1 Infected, Treatment-Naive Participants (MK-0518-292)",HIV Infection,Drug: Reformulated Raltegravir|Drug: Raltegravir|Drug: TRUVADA™|Drug: Placebo to Reformulated Raltegravir|Drug: Placebo to Raltegravir
7586,NCT02130193,"Investigation of Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Clinical Efficacy of Oral Danirixin in Symptomatic COPD Subjects With Mild to Moderate Airflow Limitation at Risk for Exacerbations","Pulmonary Disease, Chronic Obstructive",Drug: Danirixin|Drug: Placebo
7589,NCT02129777,Efficacy and Safety of Namilumab (MT203) for Plaque Psoriasis,Plaque Psoriasis,Drug: Namilumab|Drug: Placebo
7608,NCT02127970,Single Dose vs. Two Dose Regimen of Dalbavancin for the Treatment of Acute Bacterial Skin and Skin Structure Infections,Abscess|Wound Infection|Surgical Site Infection|Cellulitis,Drug: Dalbavancin|Drug: Dalbavancin-matching Placebo
7618,NCT02126826,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Rising Oral Doses of BI 1026706 in Male and Female Healthy Subjects and Patients With Osteoarthritis of the Knee",Osteoarthritis,Drug: BI 1026706|Drug: Placebo to BI 1026706
7622,NCT02126306,Beta Glucosylceramide for Treatment of NASH,Compliance Behavior,Drug: Beta Glucosylceramide|Drug: Placebo
7640,NCT02124122,Safety of Lactobacillus Reuteri in Healthy Children Ages 2 to 5 Years in Peru,Healthy,Biological: Lactobacillus reuteri|Biological: Placebo
7647,NCT02123576,Treatment of Type I Hepatorenal Syndrome (HRS) With Pentoxyfylline,Hepatorenal Syndrome,Drug: Pentoxyfylline|Drug: Placebo|Drug: AMO Therapy
7660,NCT02122471,12-Week Study of Plecanatide for CIC (The National CIC3 Study),Chronic Idiopathic Constipation,Drug: Plecanatide|Drug: Placebo
7668,NCT02121834,A Study of LY3050258 in Healthy Participants,Healthy Volunteers,Drug: LY3050258|Drug: Placebo
7670,NCT02121795,Switch Study to Evaluate F/TAF in HIV-1 Positive Participants Who Are Virologically Suppressed on Regimens Containing FTC/TDF,HIV-1 Infection,Drug: FTC/TDF|Drug: F/TAF|Drug: Allowed third antiretroviral agent|Drug: FTC/TDF Placebo|Drug: F/TAF Placebo
7686,NCT02120456,Safety and Efficacy of Escalating Doses of LEO 43204 Applied Once Daily for Two Consecutive Days on Approximately 250 cm2 on Trunk and Extremities in Subjects With Actinic Keratosis,Actinic Keratosis,Drug: LEO 43204|Drug: Placebo
7688,NCT02120417,A Study of Ruxolitinib in Combination With Capecitabine in Subjects With Advanced or Metastatic HER2-negative Breast Cancer,Breast Cancer,Drug: Ruxolitinib|Drug: Capecitabine|Drug: Placebo
7693,NCT02120027,52-Week Efficacy and Safety Study of Ibodutant in Women With Irritable Bowel Syndrome With Diarrhea (IBS-D),Irritable Bowel Syndrome With Diarrhea,Drug: Ibodutant 10 mg|Drug: Placebo
7698,NCT02119663,A Study of Ruxolitinib in Pancreatic Cancer Patients,Pancreatic Cancer,Drug: Ruxolitinib|Drug: Placebo|Drug: Capecitabine
7704,NCT02119260,"A First Time in Human Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of GSK2798745 in Healthy Subjects and Stable Heart Failure Patients","Oedema, Pulmonary",Drug: GSK2798745 solution|Drug: GSK2798745 suspension|Drug: GSK2798745 capsule|Drug: Placebo solution|Drug: Placebo suspension|Drug: Placebo capsule
7720,NCT02117570,"A Study To Investigate A Clostridium Difficile Vaccine In Healthy Adults Aged 50 to 85 Years, Who Will Each Receive 3 Doses Of Vaccine.",Clostridium Difficile Associated Disease,Biological: Clostridium difficile vaccine|Biological: Placebo
7722,NCT02117479,Study of Ruxolitinib in Pancreatic Cancer Patients (Janus 1),Pancreatic Cancer,Drug: Ruxolitinib|Drug: Placebo|Drug: Capecitabine
7733,NCT02116530,Antiemetic Therapy With or Without Olanzapine in Preventing Chemotherapy-Induced Nausea and Vomiting in Patients With Cancer Receiving Highly Emetogenic Chemotherapy,"Hematopoietic/Lymphoid Cancer|Nausea and Vomiting|Unspecified Adult Solid Tumor, Protocol Specific",Drug: Olanzapine|Drug: Chemotherapy (cisplatin or cyclophosphamide and doxorubicin)|Drug: Antiemetic treatment (ondansetron or granisetron or palonosetron; plus dexamethasone; plus fosaprepitant or aprepitant)|Other: Placebo
7739,NCT02115815,A Study to Evaluate the Safety of the Respiratory Syncytial Virus Vaccine MEDI7510 in Older Adults,Respiratory Syncytial Virus (RSV),Biological: Placebo|Biological: RSV sF 20 mcg|Biological: MEDI7510 (20 mcg RSV sF)|Biological: RSV sF 50 mcg|Biological: MEDI7510 (50 mcg RSV sF)|Biological: RSV sF 80 mcg|Biological: MEDI7510 (80 mcg RSV sF)
7759,NCT02114268,"A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of MEDI8897 in Healthy Adults",Respiratory Syncytial Virus Infections,Drug: MEDI8897 Intravenous|Drug: Placebo|Drug: MEDI8897 Intramuscular
7765,NCT02113579,Test on a New Experimental Mouth Rinse for Relieving Tooth Sensitivity,Dentin Sensitivity,Device: Experimental Mouth Rinse 12027-033|Other: Placebo Mouth Rinse
7794,NCT02110706,BeatMG: Phase II Trial of Rituximab In Myasthenia Gravis,Myasthenia Gravis,Drug: Rituximab|Drug: Placebo
7800,NCT02110225,A Dose Ranging Study to Evaluate the Safety and Potential Efficacy of rhNGF in Patients With Retinitis Pigmentosa (RP),Retinitis Pigmentosa,Drug: rhNGF 60 µg/ml eye drops solution|Drug: rhNGF 180 µg/ml eye drops solution|Drug: Placebo
7807,NCT02109484,Phase I/II Descending Age Study of P2VP8 Subunit Parenteral Rotavirus Vaccine in Healthy Toddlers and Infants,Evaluation of a Rotavirus Vaccine,Biological: P2-VP8 Subunit Vaccine 10mcg|Biological: P2-VP8 Subunit Vaccine 30 mcg|Biological: P2-VP8 Subunit Vaccine 60mcg|Other: Placebo
7859,NCT02105688,"An Efficacy and Safety Study of Grazoprevir (MK-5172) + Elbasvir (MK-8742) in the Treatment of Chronic Hepatitis C Virus (HCV) Genotype (GT)1, 4, or 6 Infection in Treatment-Naïve Participants Who Are on Opiate Substitution Therapy (MK-5172-062)",Chronic Hepatitis C,Drug: Grazoprevir 100 mg/Elbasvir 50 mg FDC tablet (MK-5172A)|Drug: Placebo to Grazoprevir 100 mg/Elbasvir 50 mg FDC tablet
